Galaxy,Right Ascension,Declination,Distance (light-years)
KK 258 (ESO 468–20),N/A,N/A,N/A
UGC 9128 (DDO 187),14h 15m 56.70s,23° 03′ 16.2″,6.8–7.8 Mly (2.1–2.4 Mpc)
IC 3104,N/A,N/A,N/A
GR 8 (DDO 155),12h 58m 40.4s,+14° 13′ 03″,7.9 Mly (2.4 Mpc)
IC 4662 (ESO 102-14),17h 47.8m ,−64° 38′,2.440 megaparsecs (7.96 Mly)
KKH 98,N/A,N/A,N/A
UGC 8508 (I Zw 060),13h 30m 44.4s,+54° 54′ 36″,8.500 ± 0.075 Mly (2.606 ± 0.023 Mpc)
KKH 86,N/A,N/A,N/A
DDO 99 (UGC 6817),N/A,N/A,N/A
ESO 6-1,N/A,N/A,N/A
UGC 7577 (DDO 125),N/A,N/A,N/A
Dwingeloo 1,02h 56m 51.9s,+58° 54′ 42″,~ 10 Mly (~3 Mpc)
UGC 9240 (DDO 190),14h 24m 43.08s,+44° 31′ 31.8″,9.10×10^6 ly (2.79 Mpc)h−10.73
NGC 4190,N/A,N/A,N/A
KKs 53 (Cen 7),N/A,N/A,N/A
NGC 4214 (UGC 7278),12h 15m 39.2s,+36° 19′ 37″,N/A
UGCA 276 (DDO 113),N/A,N/A,N/A
UGCA 133 (DDO 44),07h 34m 11.5s ,+66° 52′ 47″ ,9.82 ± 0.59 Mly
NGC 4163 (NGC 4167),12h 12.9m ,36° 10′,2.959 megaparsecs (9.65 Mly)
UGCA 86,03h 59m 50.5s,+67° 08′ 37″,9.72 ± 0.91 Mly (2.98 ± 0.28 Mpc)
NGC 1560,04h 32m 49.09s,+71° 52′ 59.2″,9.75 ± 0.33 Mly (2.99 ± 0.10 Mpc)
Dwingeloo 2,02h 54m 08.47s,+59° 00′ 19.1″,~10 Mly (3 Mpc)
KKH 11 (ZOAG G135.74-04.53),N/A,N/A,N/A
KKH 12,N/A,N/A,N/A
MB 3,02h 55m 42.7s,"+58° 51' 37""",~10 Mly (~ 3 Mpc)
MB 1 (KK 21),N/A,N/A,N/A
Maffei 1,02h 36m 35.4s,+59° 39′ 19″,
Maffei 2,02h 41m 55.1s,+59° 36′ 15″,9.8 Mly
UGC 8651 (DDO 181),N/A,N/A,N/A
Donatiello I,01h 11m 40.37s,+34° 36′ 3.2″,2.5−3.5 Mpc
NGC 2403,07h 36m 51.4s,+65° 36′ 09″,9.65 Mly (2.96 Mpc)
NGC 404,01h 09m 27.0s,+35° 43′ 04″,10.0 ± 0.7 Mly (3.07 ± 0.21 Mpc)
ESO 274-01[89],N/A,N/A,N/A
GALFA-Dw4[90],N/A,N/A,N/A
KKH 22,03h 46m 48.5s,+68° 05′ 46″,10.7 ± 0.9 Mly (3.3 ± 0.3 Mpc)
NGC 3741,11h 36m 05s,+45° 17′ 02″,10 Mly (3.2 Mpc)
KK 35,N/A,N/A,N/A
HIPASS J1247-77,N/A,N/A,N/A
NGC 2366,7h 28m 54.6s,+69° 12′ 57″,10 million light-years
NGC 1569 (UGC 3056),4h 30m 49.1s,+64° 50′ 53″,10.96 ± 0.65 Mly (3.36 ± 0.20 Mpc
ESO 321-014[89],N/A,N/A,N/A
UGC 8833,N/A,N/A,N/A
